Asset.ID,Time.to.break,Previous.bursts,index,AC,CI,DI,Other,PE,PVC,SI,Steel,NOT_PRESENT,PRESENT,Grassland,Rural,Urban,Alluvial,Brown_earths,Ground_water_gleys,Peats,Podzols,Regosols,Surface_water_gleys,Diameter,Length,Year
405522,27159,0,1063,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.204125623,-1.084107562
405522,27819,1,1064,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.204125623,-1.084107562
405577,21574,0,1065,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.459670727,-0.502872996
405577,22245,1,1066,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.459670727,-0.502872996
405651,14583,0,1067,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-0.193976166,0.687555238,0.441633173
405651,15586,1,1068,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-0.193976166,0.687555238,0.441633173
405714,14683,0,1069,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.836731436,-0.120634363,0.296324532
405714,17476,1,1070,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.836731436,-0.120634363,0.296324532
405720,19150,0,1071,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,-0.193976166,0.20775,-0.175928553
405720,19216,1,1072,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,-0.193976166,0.20775,-0.175928553
405731,39262,0,1073,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.836731436,-0.148215226,-2.173922372
405731,41545,1,1074,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.836731436,-0.148215226,-2.173922372
406423,12359,0,1075,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,0.267220564,0.405306013
406423,18999,1,1076,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,0.267220564,0.405306013
